job_title,company,country,city,salary_min,salary_max,currency,remote_type,experience_level,required_skills,posted_date,source,job_description,salary_avg
AI Engineer - REMOTE,Insight Global,UNITED STATES,Talcott Village,83000.0,83000.0,USD,Remote,Mid-level,,2026-01-31,Adzuna,Job Description Our Healthcare Insurance Client is looking to hire 4 AI Engineers. This position is remote work from home and contract to hire. This Digital Team works on the flagship web and mobile application for a national healthcare insurance client. As an AI Engineer you will be working on the Omni Member Experience. This is a full stack team but will primarily focused on backend server work. The Digital Product Organization would like to add new features this year such as AI Virtual Healt…,83000.0
AI Engineer / Entertainment,Motion Recruitment Partners,UNITED STATES,Santa Monica,94000.0,94000.0,USD,Hybrid,Mid-level,,2025-12-18,Adzuna,"AI Engineer / Entertainment Santa Monica, California Hybrid Contract $75/hr - $85/hr Job Description A globally recognized entertainment organization is hiring an AI Engineer to build and scale internal AI agents that enhance productivity across creative, operational, and business teams. This role is based in Los Angeles, CA and focuses on developing intelligent systems that automate workflows, surface insights, and integrate with internal tools. This is a full-time opportunity to work with mod…",94000.0
AI Engineer with Security Clearance,CCS Global Tech,UNITED STATES,Savage,217000.0,217000.0,USD,Remote,Mid-level,,2026-02-21,Adzuna,"Role: AI Engineer Location: Annapolis Junction, MD Salary: $180K - $200K Yearly Clearance: TS/SCI clearance and a Full Scope Polygraph Minimum 8 years of exp is required. 1-2 days remote per week We have an immediate need for an Artificial Intelligence (AI) Engineer who will work closely with system and software engineers to design, prototype, and integrate AI advancements into the existing RAD architecture. This is a transformative position focused on building solutions that augment human inte…",217000.0
Remote AI Engineer,Insight Global,UNITED STATES,Saint Bernard,93000.0,93000.0,USD,Remote,Mid-level,Azure,2026-02-12,Adzuna,"Job Description The AI Engineer develops modern AI-based automation components supporting enterprise workflows, business units, and enterprise AI products owned by the AI/Automation Hub. This role builds solutions in M365 Copilot Studio, Power Platform, and the Azure ecosystem, integrating enterprise datasets and implementing AI-assisted process automation. The engineer collaborates with TPMs, architects, and business partners to design, build, test, and deploy compliant, scalable, and secure A…",93000.0
Lead AI Engineer,Elevance Health,UNITED STATES,Durham,136000.0,136000.0,USD,Hybrid,Lead,,2026-01-30,Adzuna,"Lead AI Engineer Location: This role requires associates to be in-office 3 days per week , fostering collaboration and connectivity, while providing flexibility to support productivity and work-life balance. This approach combines structured office engagement with the autonomy of virtual work, promoting a dynamic and adaptable workplace. Alternate locations may be considered if candidates reside within commuting distance from an office Please note that per our policy on hybrid/virtual work, can…",136000.0
Lead AI Engineer,Elevance Health,UNITED STATES,Waukesha,181000.0,181000.0,USD,Hybrid,Lead,,2026-01-30,Adzuna,"Lead AI Engineer Location: This role requires associates to be in-office 3 days per week , fostering collaboration and connectivity, while providing flexibility to support productivity and work-life balance. This approach combines structured office engagement with the autonomy of virtual work, promoting a dynamic and adaptable workplace. Alternate locations may be considered if candidates reside within commuting distance from an office Please note that per our policy on hybrid/virtual work, can…",181000.0
Lead AI Engineer,Elevance Health,UNITED STATES,Dearborn,142000.0,142000.0,USD,Hybrid,Lead,,2026-01-30,Adzuna,"Lead AI Engineer Location: This role requires associates to be in-office 3 days per week , fostering collaboration and connectivity, while providing flexibility to support productivity and work-life balance. This approach combines structured office engagement with the autonomy of virtual work, promoting a dynamic and adaptable workplace. Alternate locations may be considered if candidates reside within commuting distance from an office Please note that per our policy on hybrid/virtual work, can…",142000.0
Lead AI Engineer,Elevance Health,UNITED STATES,Atlanta,187000.0,187000.0,USD,Hybrid,Lead,,2026-01-30,Adzuna,"Lead AI Engineer Location: This role requires associates to be in-office 3 days per week , fostering collaboration and connectivity, while providing flexibility to support productivity and work-life balance. This approach combines structured office engagement with the autonomy of virtual work, promoting a dynamic and adaptable workplace. Alternate locations may be considered if candidates reside within commuting distance from an office Please note that per our policy on hybrid/virtual work, can…",187000.0
Lead AI Engineer,Elevance Health,UNITED STATES,Nashville,138000.0,138000.0,USD,Hybrid,Lead,,2026-01-30,Adzuna,"Lead AI Engineer Location: This role requires associates to be in-office 3 days per week , fostering collaboration and connectivity, while providing flexibility to support productivity and work-life balance. This approach combines structured office engagement with the autonomy of virtual work, promoting a dynamic and adaptable workplace. Alternate locations may be considered if candidates reside within commuting distance from an office Please note that per our policy on hybrid/virtual work, can…",138000.0
Lead AI Engineer,Elevance Health,UNITED STATES,Wallingford,144000.0,144000.0,USD,Hybrid,Lead,,2026-01-30,Adzuna,"Lead AI Engineer Location: This role requires associates to be in-office 3 days per week , fostering collaboration and connectivity, while providing flexibility to support productivity and work-life balance. This approach combines structured office engagement with the autonomy of virtual work, promoting a dynamic and adaptable workplace. Alternate locations may be considered if candidates reside within commuting distance from an office Please note that per our policy on hybrid/virtual work, can…",144000.0
Lead AI Engineer,Elevance Health,UNITED STATES,Uptown,163000.0,163000.0,USD,Hybrid,Lead,,2026-01-30,Adzuna,"Lead AI Engineer Location: This role requires associates to be in-office 3 days per week , fostering collaboration and connectivity, while providing flexibility to support productivity and work-life balance. This approach combines structured office engagement with the autonomy of virtual work, promoting a dynamic and adaptable workplace. Alternate locations may be considered if candidates reside within commuting distance from an office Please note that per our policy on hybrid/virtual work, can…",163000.0
Lead AI Engineer,Elevance Health,UNITED STATES,Strathmoor Manor,132000.0,132000.0,USD,Hybrid,Lead,,2026-01-30,Adzuna,"Lead AI Engineer Location: This role requires associates to be in-office 3 days per week , fostering collaboration and connectivity, while providing flexibility to support productivity and work-life balance. This approach combines structured office engagement with the autonomy of virtual work, promoting a dynamic and adaptable workplace. Alternate locations may be considered if candidates reside within commuting distance from an office Please note that per our policy on hybrid/virtual work, can…",132000.0
Data Scientist,Jobot,UNITED STATES,The Woodlands,113000.0,113000.0,USD,Onsite,Mid-level,,2026-02-16,Adzuna,"Raw Data Wrangling - Advance Analytics This Jobot Job is hosted by: Chuck Wirtz Are you a fit? Easy Apply now by clicking the ""Apply"" button and sending us your resume. Salary: $110,000 - $125,000 per year A bit about us: As a leader in our industry, we serve 40 states nationwide. This role is a dedicated Data Scientist, onsite 4x/week in The Woodlands, Stock  Bonus. Why join us? You will join an established, dedicated team led by experienced engineers. We are ingesting large volumes of data to…",113000.0
Data Scientist,GovCIO,UNITED STATES,Fort George G Meade,115000.0,115000.0,USD,Onsite,Mid-level,,2026-01-14,Adzuna,"Overview GovCIO is currently hiring for a Data Scientist to define the characteristics of high-quality training data . This position will be located in Fort Meade, MD and will be an onsite position. Responsibilities The Data Scientist defines the characteristics of high-quality training data required to support future AI-powered cyber models. This role focuses on feature relevance, representativeness, bias, and generalization considerations rather than model training. Early data science input d…",115000.0
Data Scientist,ManpowerGroup,UNITED STATES,Cedar Pass,226000.0,226000.0,USD,Onsite,Lead,,2025-11-22,Adzuna,"Data Scientist  12 month contract  Onsite M-Th in Lehi, UT  W2 only SUMMARY The company is redefining home energy intelligence through data and AI to enable personalized comfort, energy efficiency, and demand-response optimization across millions of connected homes. We are seeking a Staff Data Scientist to design and deploy predictive models that enable intelligent home energy decisions: from forecasting comfort and cost to optimizing EV charging and demand response events. DUTIES  Develop Pred…",226000.0
Data Scientist,Robert Half,UNITED STATES,Edison,128000.0,128000.0,USD,Hybrid,Mid-level,,2025-12-30,Adzuna,"Description We are looking for a skilled Data Scientist to join our team on a contract with the potential for a permanent position in Edison, New Jersey. This hybrid role requires working on-site two days a week, collaborating with stakeholders to develop and implement AI-driven solutions. Ideal candidates will have expertise in data strategy, AI technologies, and tools such as Databricks and Informatica. Responsibilities: - Develop and implement AI-driven use cases that align with organization…",128000.0
Data Scientist - II (Associate),Genesis10,UNITED STATES,Rahway,102000.0,102000.0,USD,Hybrid,Junior,,2026-02-21,Adzuna,"ApTask Global Workforce (AGW) is seeking a Data Scientist - II (Associate) with a pharmaceutical company. This is a 12 month contract opportunity with our client located in Rahway, NJ. This is a hybrid position. Summary: This role supports the Companion Diagnostics group by reviewing a high volume of biomarker datasets and quality assurance reports. The contractor will be responsible for identifying and resolving potential quality events by collaborating with internal and external stakeholders …",102000.0
Data Scientist,Capgemini,UNITED STATES,Bellevue,123000.0,123000.0,USD,Hybrid,Lead,,2026-02-14,Adzuna,"DataScientist Bellevue,WA (Hybrid) Directhiring w/ benefits Roleand Responsibilities: - Lead measurement initiatives; develop KPIs and learning plans for end client and their customers in support of their marketing objectives. - Develop, implement, and maintain analytics systems, tools, and frameworks that enable efficient analysis for customers. - Design approaches for observational analytics, including mining multi-dimensional datasets, and experimental methods to build templates and librarie…",123000.0
Data Scientist,Deloitte,UNITED STATES,Lansing,164000.0,164000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",164000.0
Data Scientist,Deloitte,UNITED STATES,West Milwaukee,192000.0,192000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",192000.0
Data Scientist,Deloitte,UNITED STATES,Oakwood,175000.0,175000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",175000.0
Data Scientist,Deloitte,UNITED STATES,Grandview Heights,193000.0,193000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",193000.0
Data Scientist,Deloitte,UNITED STATES,Saint Bernard,187000.0,187000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",187000.0
Data Scientist,Deloitte,UNITED STATES,Charlotte,153000.0,153000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",153000.0
Data Scientist,Deloitte,UNITED STATES,Five Points,175000.0,175000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",175000.0
Data Scientist,Deloitte,UNITED STATES,Atlanta,220000.0,220000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",220000.0
Data Scientist,Deloitte,UNITED STATES,Boise,154000.0,154000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",154000.0
Data Scientist,Deloitte,UNITED STATES,Higley,159000.0,159000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",159000.0
Data Scientist,Deloitte,UNITED STATES,Wake Island,144000.0,144000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",144000.0
Data Scientist,Deloitte,UNITED STATES,Boston,147000.0,147000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",147000.0
Data Scientist,Deloitte,UNITED STATES,Midland,166000.0,166000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",166000.0
Data Scientist,Deloitte,UNITED STATES,Detroit,176000.0,176000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",176000.0
Data Scientist,Deloitte,UNITED STATES,Uptown,192000.0,192000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",192000.0
Data Scientist,Deloitte,UNITED STATES,Guadalupe,241000.0,241000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",241000.0
Data Scientist,Deloitte,UNITED STATES,Strathmoor Manor,155000.0,155000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",155000.0
Data Scientist,Deloitte,UNITED STATES,Williams,150000.0,150000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",150000.0
Data Scientist,Deloitte,UNITED STATES,Portland,155000.0,155000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",155000.0
Data Scientist,Deloitte,UNITED STATES,Benson,152000.0,152000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",152000.0
Data Scientist,Deloitte,UNITED STATES,Birmingham,152000.0,152000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",152000.0
Data Scientist,Deloitte,UNITED STATES,Redstone Arsenal,178000.0,178000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",178000.0
Data Scientist,Deloitte,UNITED STATES,Custom House,157000.0,157000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",157000.0
Data Scientist,Deloitte,UNITED STATES,Wichita,175000.0,175000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",175000.0
Data Scientist,Deloitte,UNITED STATES,Talcott Village,169000.0,169000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",169000.0
Data Scientist,Deloitte,UNITED STATES,Stamford,200000.0,200000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",200000.0
Data Scientist,Deloitte,UNITED STATES,Grand Rapids,198000.0,198000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",198000.0
Data Scientist,Deloitte,UNITED STATES,Des Moines,152000.0,152000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",152000.0
Data Scientist,Deloitte,UNITED STATES,Urbanización El Vedado,152000.0,152000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",152000.0
Data Scientist,Deloitte,UNITED STATES,Hermitage,195000.0,195000.0,USD,Onsite,Mid-level,,2026-02-21,Adzuna,"Are you an experienced, passionate pioneer in technology who wants to work in a collaborative environment? As an experienced AI Engineer you will have the ability to share new ideas and collaborate on projects as a consultant without the extensive demands of travel. If so, consider an opportunity with Deloitte under our Project Delivery Talent Model. Project Delivery Model (PDM) is a talent model that is tailored specifically for long-term, onsite client service delivery. Work you'll do/Respons…",195000.0
